fecha,geografia,variable,valor,unidad,fuente
2023-01-13,Huila,temp_max,25.0,°C,open-meteo
2023-01-13,Huila,temp_min,13.2,°C,open-meteo
2023-01-13,Nariño,precipitacion,5.2,mm,open-meteo
2023-01-13,Nariño,temp_max,19.6,°C,open-meteo
2023-01-13,Nariño,temp_min,13.1,°C,open-meteo
2023-01-13,Quindío,precipitacion,13.0,mm,open-meteo
2023-01-13,Quindío,temp_max,21.1,°C,open-meteo
2023-01-13,Quindío,temp_min,13.4,°C,open-meteo
2023-01-13,Risaralda,precipitacion,13.9,mm,open-meteo
2023-01-13,Risaralda,temp_max,21.6,°C,open-meteo
2023-01-13,Risaralda,temp_min,14.1,°C,open-meteo
2023-01-13,Tolima,precipitacion,21.5,mm,open-meteo
2023-01-13,Tolima,temp_max,21.6,°C,open-meteo
2023-01-13,Tolima,temp_min,12.5,°C,open-meteo
2023-01-14,Antioquia,precipitacion,3.3,mm,open-meteo
2023-01-14,Antioquia,temp_max,25.6,°C,open-meteo
2023-01-14,Antioquia,temp_min,15.1,°C,open-meteo
2023-01-14,COLOMBIA,precio_interno_referencia,1760000.0,COP/carga_125kg,FNC
2023-01-14,Caldas,precipitacion,7.6,mm,open-meteo
2023-01-14,Caldas,temp_max,17.5,°C,open-meteo
2023-01-14,Caldas,temp_min,10.1,°C,open-meteo
2023-01-14,Cauca,precipitacion,10.9,mm,open-meteo
2023-01-14,Cauca,temp_max,20.1,°C,open-meteo
2023-01-14,Cauca,temp_min,13.9,°C,open-meteo
2023-01-14,Huila,precipitacion,1.8,mm,open-meteo
2023-01-14,Huila,temp_max,24.1,°C,open-meteo
2023-01-14,Huila,temp_min,14.6,°C,open-meteo
2023-01-14,Nariño,precipitacion,10.3,mm,open-meteo
2023-01-14,Nariño,temp_max,19.4,°C,open-meteo
2023-01-14,Nariño,temp_min,13.2,°C,open-meteo
2023-01-14,Quindío,precipitacion,10.3,mm,open-meteo
2023-01-14,Quindío,temp_max,20.1,°C,open-meteo
2023-01-14,Quindío,temp_min,13.2,°C,open-meteo
2023-01-14,Risaralda,precipitacion,14.8,mm,open-meteo
2023-01-14,Risaralda,temp_max,22.9,°C,open-meteo
2023-01-14,Risaralda,temp_min,14.4,°C,open-meteo
2023-01-14,Tolima,precipitacion,17.2,mm,open-meteo
2023-01-14,Tolima,temp_max,21.0,°C,open-meteo
2023-01-14,Tolima,temp_min,12.3,°C,open-meteo
2023-01-15,Antioquia,precipitacion,1.3,mm,open-meteo
2023-01-15,Antioquia,temp_max,24.9,°C,open-meteo
2023-01-15,Antioquia,temp_min,14.8,°C,open-meteo
2023-01-15,COLOMBIA,precio_interno_referencia,1760000.0,COP/carga_125kg,FNC
2023-01-15,Caldas,precipitacion,28.5,mm,open-meteo
2023-01-15,Caldas,temp_max,17.7,°C,open-meteo
2023-01-15,Caldas,temp_min,9.7,°C,open-meteo
2023-01-15,Cauca,precipitacion,3.2,mm,open-meteo
2023-01-15,Cauca,temp_max,20.6,°C,open-meteo
2023-01-15,Cauca,temp_min,13.2,°C,open-meteo
2023-01-15,Huila,precipitacion,3.4,mm,open-meteo
2023-01-15,Huila,temp_max,22.0,°C,open-meteo
2023-01-15,Huila,temp_min,15.8,°C,open-meteo
2023-01-15,Nariño,precipitacion,2.3,mm,open-meteo
2023-01-15,Nariño,temp_max,19.1,°C,open-meteo
2023-01-15,Nariño,temp_min,12.6,°C,open-meteo
2023-01-15,Quindío,precipitacion,24.4,mm,open-meteo
2023-01-15,Quindío,temp_max,21.9,°C,open-meteo
2023-01-15,Quindío,temp_min,13.4,°C,open-meteo
2023-01-15,Risaralda,precipitacion,20.2,mm,open-meteo
2023-01-15,Risaralda,temp_max,24.0,°C,open-meteo
2023-01-15,Risaralda,temp_min,13.2,°C,open-meteo
2023-01-15,Tolima,precipitacion,31.5,mm,open-meteo
2023-01-15,Tolima,temp_max,22.0,°C,open-meteo
2023-01-15,Tolima,temp_min,12.4,°C,open-meteo
2023-01-16,Antioquia,precipitacion,1.0,mm,open-meteo
2023-01-16,Antioquia,temp_max,25.4,°C,open-meteo
2023-01-16,Antioquia,temp_min,15.5,°C,open-meteo
2023-01-16,COLOMBIA,fx_usd_local,4624.69482421875,COP/USD,yfinance
2023-01-16,COLOMBIA,precio_interno_referencia,1760000.0,COP/carga_125kg,FNC
2023-01-16,Caldas,precipitacion,8.2,mm,open-meteo
2023-01-16,Caldas,temp_max,17.2,°C,open-meteo
2023-01-16,Caldas,temp_min,8.2,°C,open-meteo
2023-01-16,Cauca,precipitacion,11.1,mm,open-meteo
2023-01-16,Cauca,temp_max,21.5,°C,open-meteo
2023-01-16,Cauca,temp_min,11.4,°C,open-meteo
2023-01-16,Huila,precipitacion,2.2,mm,open-meteo
2023-01-16,Huila,temp_max,23.8,°C,open-meteo
2023-01-16,Huila,temp_min,14.8,°C,open-meteo
2023-01-16,Nariño,precipitacion,3.3,mm,open-meteo
2023-01-16,Nariño,temp_max,20.2,°C,open-meteo
2023-01-16,Nariño,temp_min,12.9,°C,open-meteo
2023-01-16,Quindío,precipitacion,14.4,mm,open-meteo
2023-01-16,Quindío,temp_max,21.5,°C,open-meteo
2023-01-16,Quindío,temp_min,14.4,°C,open-meteo
2023-01-16,Risaralda,precipitacion,16.2,mm,open-meteo
2023-01-16,Risaralda,temp_max,22.0,°C,open-meteo
2023-01-16,Risaralda,temp_min,13.2,°C,open-meteo
2023-01-16,Tolima,precipitacion,21.1,mm,open-meteo
2023-01-16,Tolima,temp_max,20.2,°C,open-meteo
2023-01-16,Tolima,temp_min,12.7,°C,open-meteo
2023-01-17,Antioquia,precipitacion,2.0,mm,open-meteo
2023-01-17,Antioquia,temp_max,25.1,°C,open-meteo
2023-01-17,Antioquia,temp_min,15.6,°C,open-meteo
2023-01-17,COLOMBIA,fx_usd_local,4688.1298828125,COP/USD,yfinance
2023-01-17,COLOMBIA,precio_interno_referencia,1768000.0,COP/carga_125kg,FNC
2023-01-17,Caldas,precipitacion,8.9,mm,open-meteo
2023-01-17,Caldas,temp_max,17.4,°C,open-meteo
2023-01-17,Caldas,temp_min,10.1,°C,open-meteo
2023-01-17,Cauca,precipitacion,4.4,mm,open-meteo
2023-01-17,Cauca,temp_max,20.2,°C,open-meteo
2023-01-17,Cauca,temp_min,11.9,°C,open-meteo
2023-01-17,GLOBAL,precio_cafe_arabica,151.10000610351562,USc/lb,yfinance
2023-01-17,Huila,precipitacion,2.2,mm,open-meteo
2023-01-17,Huila,temp_max,23.5,°C,open-meteo
2023-01-17,Huila,temp_min,15.0,°C,open-meteo
2023-01-17,Nariño,precipitacion,1.4,mm,open-meteo
2023-01-17,Nariño,temp_max,17.8,°C,open-meteo
2023-01-17,Nariño,temp_min,14.1,°C,open-meteo
